_id,id,action,app_name,asset_type,asset_user_access_id,context_type,contributed,controller,created_at,developer_key_id,extracted_at,http_method,inserted_at,interaction_seconds,links.user,links.context,links.asset,links.real_user,links.account,participated,remote_ip,render_time,session_id,summarized,updated_at,url,user_agent,user_request
660ef07cef4c63e280ec8651,6daae767-5d8a-4113-8292-14f9359cef9b,show,,,226502686,Course,false,courses,2024-04-03T21:14:18Z,,2024-04-08 13:35:35,get,2024-04-04 13:23:43,13,19975,64298,,,1,false,192.188.50.146,1.644453,9ce3118ccfd4a20bed6e8873f55a71cb,,2024-04-03T21:14:18Z,https://utpl.instructure.com/courses/64298,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0,
660ef07def4c63e280ec97d5,ed0e6949-f94b-4b9b-b87e-d92507d84cf7,new,,,,Course,false,discussion_topics,2024-04-03T15:50:34Z,,2024-04-08 13:35:35,get,2024-04-04 13:23:43,32,19975,64298,,,1,false,192.188.50.146,0.400744,ce1fc1762ef82046725b40ee1bfb3350,,2024-04-03T15:50:34Z,https://utpl.instructure.com/courses/64298/discussion_topics/new?assignment_group_id=407797&due_at=2024-04-22T04%3A59%3A59.000Z&points_possible=0&title=For+de+Presentaci%C3%B3n,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0,
660ef07eef4c63e280ecaa6d,6bf3b037-b590-4ba1-a201-a3af36d4c1a4,show,,,226539443,Course,false,discussion_topics,2024-04-03T15:17:58Z,,2024-04-08 13:35:35,get,2024-04-04 13:23:43,24,19975,64298,,,1,false,192.188.50.146,0.403459,ce1fc1762ef82046725b40ee1bfb3350,,2024-04-03T15:17:58Z,https://utpl.instructure.com/courses/64298/discussion_topics/1494794,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0,
660ef07eef4c63e280ecba06,1086ed2d-0fdc-4564-b876-30b2433d2c7d,new,,,,Course,false,discussion_topics,2024-04-03T15:01:59Z,,2024-04-08 13:35:35,get,2024-04-04 13:23:43,14,19975,64298,,,1,false,192.188.50.146,0.477693,ce1fc1762ef82046725b40ee1bfb3350,,2024-04-03T15:01:59Z,https://utpl.instructure.com/courses/64298/discussion_topics/new?is_announcement=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0,
660ef07eef4c63e280ecbf4a,3cbc10d9-0a00-491e-a461-2aed32e49567,new,,,,Course,false,discussion_topics,2024-04-03T14:55:59Z,,2024-04-08 13:35:35,get,2024-04-04 13:23:43,19,19975,64298,,,1,false,192.188.50.146,0.563206,ce1fc1762ef82046725b40ee1bfb3350,,2024-04-03T14:55:59Z,https://utpl.instructure.com/courses/64298/discussion_topics/new?is_announcement=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:124.0) Gecko/20100101 Firefox/124.0,
66143b8def4c63e280c306d3,6d4bff79-f157-4ac2-8449-4d8b3d7b34d2,,Canvas for Android,,,Course,false,courses,2024-04-08T05:23:44Z,170000000000044,2024-04-09 01:53:49,,2024-04-08 13:46:20,21.319,122716,64298,,,1,,,0,273d93de-e17c-48cd-8c4d-701df41dd9bd,,2024-04-08T05:23:44Z,https://utpl.instructure.com/courses/64298,candroid/7.2.0 (260),
66143b8def4c63e280c306da,3631deeb-a710-48e1-9109-cda5bcb26a65,,Canvas for Android,,,Course,false,courses,2024-04-08T05:23:40Z,170000000000044,2024-04-09 01:53:49,,2024-04-08 13:46:20,3.387,122716,64298,,,1,,,0,273d93de-e17c-48cd-8c4d-701df41dd9bd,,2024-04-08T05:23:40Z,https://utpl.instructure.com/courses/64298,candroid/7.2.0 (260),
66143d4aef4c63e280c551b5,2bc3a5b6-8bf7-411b-86a6-3111b426b86b,,Canvas for iOS,,,Course,false,courses,2024-04-08T05:10:51Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,0.8652749061584473,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:51Z,https://utpl.instructure.com/courses/64298,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551bc,f180942a-abff-4f4d-aa8e-edf4e1df3d4b,,Canvas for iOS,,,Course,false,grades,2024-04-08T05:10:50Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,0.650486946105957,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:50Z,https://utpl.instructure.com/courses/64298/grades,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551bf,27747a68-f640-48ab-b41f-147b32584125,,Canvas for iOS,,,Course,false,assignments,2024-04-08T05:10:50Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,0.6701289415359497,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:50Z,https://utpl.instructure.com/courses/64298/assignments/815312,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551c4,43629e81-c468-4661-bbe2-b76584c497f7,,Canvas for iOS,,,Course,false,submissions,2024-04-08T05:10:49Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,2.3490229845047,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:49Z,https://utpl.instructure.com/courses/64298/assignments/815312/submissions/51774958,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551cd,c6ed2745-cb1c-4737-9099-dfa1f3c04fa6,,Canvas for iOS,,,Course,false,assignments,2024-04-08T05:10:47Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,2.234429955482483,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:47Z,https://utpl.instructure.com/courses/64298/assignments/815312,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551e5,f7a4381f-ad58-4993-ba65-75cae7a63d03,,Canvas for iOS,,,Course,false,grades,2024-04-08T05:10:44Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,4.510500073432922,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:44Z,https://utpl.instructure.com/courses/64298/grades,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
66143d4aef4c63e280c551e6,52caf7d0-47f2-4d27-8fc9-5cc38125e5d7,,Canvas for iOS,,,Course,false,assignments,2024-04-08T05:10:44Z,170000000000004,2024-04-09 02:10:36,,2024-04-08 13:53:56,0.03421592712402344,126935,64298,,,1,,,0,1DC84A8A-8EE6-45AE-A30F-27606C848E14,,2024-04-08T05:10:44Z,https://utpl.instructure.com/courses/64298/assignments/815312,iCanvas/7.2.0 (20757) iPhone/iOS 17.4.1,
